{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222745', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222786', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222786', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222825', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222825', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222865', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222865', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222905', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222905', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222945', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222945', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222986', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323222986', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223025', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223025', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223067', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223067', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223106', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223106', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223146', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223147', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223186', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223187', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223225', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223225', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223266', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223266', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223305', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223305', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223345', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223345', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223386', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223386', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223426', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223426', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223466', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223467', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223505', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223506', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223546', 'TimeType': 'ms', 'Detail': '2'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223546', 'TimeType': 'ms', 'Detail': '3'}
{'LogType': 'Net_Buffer_Count', 'Which': 's', 'AlgoTime': '1613323223586', 'TimeType': 'ms', 'Detail': '2'}
